name,id,gender,uid,department
Scandar Copti,6827,0,91602,Directing
Stefan C. Schaefer,6859,2,227945,Directing
Sanjay Rawal,6872,0,1341629,Directing
Shane Dawson,6890,0,168349,Directing
Scott Ziehl,6913,2,43439,Directing
Siddiq Barmak,6930,0,77273,Directing
Sol Tryon,6944,0,93022,Directing
Stephen Kijak,6946,2,107168,Directing
Sue Corcoran,6961,0,1116801,Directing
Sam Firstenberg,6974,2,72543,Directing
Stuart Hazeldine,7004,0,105239,Directing
Sherman Alexie,7021,0,1201090,Directing
Stevan Mena,7023,0,151017,Directing
Sharon Greytak,7033,0,1375627,Directing
Sara Newens,7047,0,1448550,Directing
Sai Varadan,7048,0,1343876,Directing
Stephen Langford,7057,2,99240,Directing
Sut Jhally,7065,0,1184450,Directing
Shane Carruth,7106,2,76624,Directing
Scott Smith,7108,0,1219158,Directing
